name,rating,rating_values,reviews,jobs,interviews
Cummins,4.3,"Company Culture, Work Life Balance, Work Satisfaction",3.9k,4,283
Oyo Rooms,3.1,"Job Security, Company Culture, Work Life Balance",3.9k,129,255
Alembic Pharmaceuticals,3.9,"Salary & Benefits, Work Life Balance",3.8k,73,253
Bank of America,4.1,"Job Security, Work Life Balance, Company Culture",3.8k,--,290
Pidilite Industries,4.2,"Job Security, Work Life Balance, Company Culture",3.8k,3,257
Publicis Sapient,3.4,"Promotions / Appraisal, Job Security, Work Satisfaction",3.8k,274,690
Carelon Global Solutions,3.9,"Company Culture, Work Life Balance, Job Security",4.1k,29,417
Reliance Communications,4.0,"Skill Development / Learning, Company Culture, Work Life Balance",3.8k,--,106
Subros,3.8,"Job Security, Skill Development / Learning, Company Culture",3.8k,1,217
American Express,4.1,"Company Culture, Work Life Balance, Job Security",3.8k,167,423
Altruist Technologies,4.5,"Job Security, Company Culture, Work Life Balance",3.8k,10,710
Viatris,4.1,"Salary & Benefits, Job Security, Work Life Balance",3.8k,3,164
XpressBees,4.2,"Work Life Balance, Company Culture, Work Satisfaction",3.8k,14,442
Aditya Birla Sun Life Insurance,4.0,"Work Life Balance, Company Culture, Job Security",3.7k,--,178
Kyndryl,3.9,"Work Life Balance, Company Culture, Skill Development / Learning",3.7k,65,224
PVR INOX,3.9,Job Security,3.7k,26,214
PNB MetLife,3.4,"Job Security, Company Culture, Work Satisfaction",3.7k,16,192
Grasim Industries,4.0,"Job Security, Skill Development / Learning, Company Culture",3.7k,2,275
Automatic Data Processing (ADP),3.9,"Job Security, Company Culture, Work Life Balance",3.7k,35,290
Escorts Kubota Limited,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",3.7k,4,296
Aditya Birla Capital,3.8,"Work Life Balance, Salary & Benefits",3.7k,3,258
Maersk,4.0,"Company Culture, Work Life Balance, Salary & Benefits",3.7k,49,248
Synechron,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction",3.6k,88,405
Birlasoft,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6k,442,315
KPIT Technologies,2.9,"Job Security, Promotions / Appraisal, Work Satisfaction",3.6k,35,343
Glenmark Pharmaceuticals,3.8,Promotions / Appraisal,3.6k,141,179
Sodexo,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",3.6k,1.6k,201
JK Cement,4.0,Salary & Benefits,3.6k,1,333
Kotak Mahindra Life Insurance Company,3.5,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",3.6k,159,259
Dabur,3.8,Salary & Benefits,3.6k,16,329
Bharat Electronics,4.2,"Work Life Balance, Company Culture, Work Satisfaction",3.6k,--,245
Godrej & Boyce Manufacturing,3.9,Job Security,3.6k,75,225
Cogent E Services,3.1,"Company Culture, Work Satisfaction, Promotions / Appraisal",3.6k,2,293
Samvardhana Motherson Group,3.7,Job Security,3.6k,15,258
Abbott,4.1,"Work Life Balance, Skill Development / Learning, Salary & Benefits",3.6k,230,181
Aarti Industries,4.1,"Job Security, Work Life Balance, Company Culture",3.5k,13,329
Ipca Laboratories,3.8,"Job Security, Work Life Balance",3.5k,51,205
Reliance Projects & Property Management Services,4.0,"Skill Development / Learning, Work Life Balance, Job Security",3.5k,--,210
Indian Oil Corporation,4.3,"Company Culture, Work Life Balance, Work Satisfaction",3.5k,--,234
PhonePe,4.1,"Salary & Benefits, Company Culture, Work Life Balance",3.5k,64,412
Cloudnine Hospital,4.4,"Company Culture, Work Life Balance, Job Security",3.5k,4,1.1k
MRF Tyres,3.6,"Company Culture, Work Satisfaction, Work Life Balance",3.5k,23,372
Reliance Digital,4.1,"Skill Development / Learning, Job Security, Company Culture",3.5k,1,169
Alkem Laboratories,3.9,Salary & Benefits,3.5k,19,195
Johnson Controls,3.5,"Promotions / Appraisal, Work Satisfaction, Job Security",3.5k,5,301
IGT Solutions,3.2,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.5k,108,253
"NTT DATA, Inc.",3.9,"Work Life Balance, Company Culture, Job Security",3.5k,94,152
Honda Motorcycle & Scooter,4.1,"Job Security, Company Culture, Work Life Balance",3.4k,--,202
UNO Minda,3.9,"Job Security, Company Culture, Skill Development / Learning",3.4k,20,255
ArcelorMittal Nippon Steel,4.1,"Job Security, Work Life Balance, Company Culture",3.4k,6,272
[24]7.ai,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.4k,82,186
Vishal Mega Mart,3.8,Salary & Benefits,3.4k,2,207
Hindustan Coca Cola Beverages,4.0,"Skill Development / Learning, Salary & Benefits, Company Culture",3.4k,42,178
UBS,3.8,"Work Life Balance, Company Culture",3.4k,2,370
Blinkit,3.8,Salary & Benefits,3.4k,--,333
DTDC Express,3.7,"Promotions / Appraisal, Salary & Benefits",3.4k,27,194
Reliance Nippon Life Insurance,3.4,"Job Security, Company Culture, Work Satisfaction",3.3k,3,168
Ford Motor,4.2,"Company Culture, Work Life Balance, Salary & Benefits",3.3k,1,174
Bajaj General Insurance Limited,3.7,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",3.3k,94,139
Ceat Tyres,3.9,"Job Security, Company Culture, Skill Development / Learning",3.3k,6,210
ABB,4.1,"Work Life Balance, Job Security, Company Culture",3.3k,--,288
HARMAN,3.8,Work Life Balance,3.3k,121,292
Barclays,3.7,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",3.3k,--,313
RSPL Group,4.1,"Job Security, Work Life Balance, Company Culture",3.3k,33,256
NatWest Group,4.0,"Work Life Balance, Job Security, Company Culture",3.3k,59,234
AGS Health,4.0,"Company Culture, Job Security, Work Life Balance",3.3k,35,210
TVS Credit Services Ltd,4.2,"Salary & Benefits, Company Culture, Work Life Balance",3.3k,37,157
Niva Bupa Health Insurance Company,4.1,"Company Culture, Work Life Balance, Job Security",3.2k,102,377
Croma,3.8,"Work Life Balance, Job Security, Skill Development / Learning",3.2k,33,184
InterGlobe Aviation,3.5,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",3.2k,80,368
Alstom Transportation,3.7,Job Security,3.2k,448,277
Conduent,3.4,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.2k,461,232
Indian Air Force,4.5,"Job Security, Skill Development / Learning, Salary & Benefits",3.2k,--,81
Tata Technologies,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.2k,141,307
GeBBS Healthcare Solutions,3.7,Job Security,3.2k,71,180
Tata AIG,4.0,"Job Security, Company Culture, Work Life Balance",3.2k,107,191
Allcargo Logistics,3.8,Promotions / Appraisal,3.2k,26,138
Marpu Foundation,4.9,"Company Culture, Work Life Balance, Work Satisfaction",3.1k,--,265
UPL,4.1,"Job Security, Company Culture, Work Life Balance",3.1k,45,217
Max Healthcare,4.0,"Job Security, Skill Development / Learning, Company Culture",3.1k,146,186
PepsiCo,4.1,"Company Culture, Work Life Balance, Work Satisfaction",3.1k,372,235
Amazon Transportation Services,4.2,"Company Culture, Skill Development / Learning, Salary & Benefits",3.1k,1,254
Titan Company,4.2,"Company Culture, Job Security, Work Life Balance",3.1k,100,201
Dilip Buildcon,3.9,Salary & Benefits,3.1k,20,187
Walmart,3.5,"Promotions / Appraisal, Work Satisfaction, Job Security",3.1k,221,438
Mankind Pharma,3.8,Salary & Benefits,3.1k,11,254
Varroc Group,3.6,"Promotions / Appraisal, Job Security, Company Culture",3k,61,219
S&P Global,4.0,"Company Culture, Work Life Balance",3k,289,327
Jindal Stainless,4.2,"Job Security, Work Life Balance, Skill Development / Learning",3k,6,311
Future Group,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",3k,--,84
MSN Laboratories,3.6,Job Security,3k,47,171
Societe Generale Global Solution Centre,3.6,"Work Life Balance, Job Security",3k,112,295
Afcons Infrastructure,4.2,"Job Security, Skill Development / Learning, Salary & Benefits",3k,34,266
Quest Global,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3k,172,359
Torrent Pharmaceuticals,4.0,"Job Security, Work Life Balance, Company Culture",3k,24,167
IDFC FIRST Bharat,4.2,"Salary & Benefits, Company Culture, Work Life Balance",3k,2,151
Square Yards,3.6,"Job Security, Work Life Balance, Work Satisfaction",3k,61,226
HDFC Sales,3.9,"Company Culture, Skill Development / Learning, Work Life Balance",2.9k,11,189
CMS IT Services,3.1,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.9k,32,158
Sagility,3.9,"Job Security, Company Culture, Work Life Balance",2.9k,92,243
Zensar Technologies,3.7,Work Life Balance,2.9k,342,277
I Process Services,3.8,"Company Culture, Work Life Balance",2.9k,1,132
ACC,3.9,"Promotions / Appraisal, Job Security",2.9k,--,233
ESAF Small Finance Bank,3.6,"Promotions / Appraisal, Work Satisfaction, Company Culture",2.9k,37,167
Ola Electric Mobility,3.4,"Job Security, Company Culture, Promotions / Appraisal",2.9k,--,299
DS Group,4.1,"Work Life Balance, Company Culture, Job Security",2.9k,48,214
Suzlon Group,4.0,"Job Security, Skill Development / Learning, Company Culture",2.9k,34,171
Tata Elxsi,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.9k,43,340
Eternal Limited,3.7,Salary & Benefits,2.9k,11,361
Fujitsu,3.8,"Work Life Balance, Company Culture",2.9k,165,213
Shoppers Stop,4.0,"Company Culture, Work Life Balance, Job Security",2.9k,46,141
VVDN Technologies,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.9k,7,255
Bharat Financial Inclusion,3.7,Salary & Benefits,2.9k,2,122
Indus Towers,3.6,"Promotions / Appraisal, Job Security, Work Life Balance",2.9k,41,223
Nokia,4.0,"Work Life Balance, Company Culture, Work Satisfaction",2.8k,235,315
Apollo Tyres,4.0,"Company Culture, Work Life Balance, Job Security",2.8k,--,150
Yazaki,3.9,"Job Security, Skill Development / Learning",2.8k,2,181
IKS Health,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.8k,33,263
Fiserv,2.9,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.8k,9,193
Shree Cement,3.8,"Promotions / Appraisal, Job Security",2.8k,8,213
UnitedHealth,4.0,"Job Security, Work Life Balance, Company Culture",2.8k,--,84
Britannia,4.0,"Job Security, Skill Development / Learning",2.7k,4,224
Landmark Group,3.8,Job Security,2.7k,10,175
SRF,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",2.7k,10,208
Dalmia Bharat Cement,3.9,"Job Security, Salary & Benefits",2.7k,3,197
Blue Dart Express Ltd,3.9,"Job Security, Company Culture",2.7k,6,127
Kansai Nerolac Paints,3.8,Promotions / Appraisal,2.7k,70,190
Zepto,3.5,"Job Security, Company Culture, Work Life Balance",2.7k,34,442
Exide Industries,3.4,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.7k,61,212
Nestlé,3.8,Salary & Benefits,2.7k,29,279
Shell,3.9,"Work Life Balance, Company Culture, Salary & Benefits",2.7k,58,233
Whitehat jr,3.3,"Job Security, Promotions / Appraisal, Company Culture",2.7k,--,265
KPMG Global Services,3.4,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.7k,12,255
Tata Electronics,3.9,Job Security,2.7k,39,256
Flex,3.9,"Company Culture, Work Life Balance, Work Satisfaction",2.7k,51,211
